State_ab,Median,Mean
AL,30506,38773
AL,19528,37725
AL,31930,54606
AL,52814,63919
AL,67225,77948
AL,42643,50715
AL,23610,33737
AL,40242,46319
AL,39591,57994
AL,41712,54807
AL,38947,47929
AL,28811,42251
AL,19757,27993
AL,22745,31229
AL,21136,36439
AL,39047,56934
AL,21608,41057
AL,300000,93682
AL,46738,57202
AL,34049,49699
AL,300000,51926
AL,34725,44572
AL,31635,56029
AL,43794,51098
AL,36849,45465
AL,48713,67392
AL,30427,43767
AL,39817,48074
AL,38231,53330
AL,28180,42079
AL,49109,60729
AL,17389,32466
AL,54115,62410
AL,40430,55199
AL,6190,22603
AL,79218,86605
AL,57698,63066
AL,39054,53597
AL,29055,39220
AL,25895,39218
AL,44609,55127
AL,52275,59567
AL,45844,63758
AL,45637,57098
AL,300000,72297
AL,39657,51907
AL,50493,55849
AL,47636,55230
AL,38843,55815
AL,39263,49554
AL,0,0
AL,60438,71026
AL,49030,58314
AL,33446,48217
AL,11398,14741
AL,20997,28347
AL,300000,242857
AL,38029,59694
AL,35147,50047
AL,29150,41239
AL,12379,32777
AL,25776,33353
AL,64695,65576
AL,27321,41709
AL,32942,45862
AL,56867,62222
AL,71401,90262
AL,74570,92018
AL,71839,78399
AL,75896,85122
AL,54091,66000
AL,28981,34064
AL,27264,38882
AL,31044,40948
AL,35722,48421
AL,74807,77977
AL,29413,37965
AL,12361,24931
AL,45803,60252
AL,40174,53301
AL,29226,40072
AL,23009,35951
AL,40342,48623
AL,36818,49046
AL,51927,58180
AL,35150,41464
AL,300000,59061
AL,43407,55216
AL,24377,36474
AL,97539,107603
AL,41882,50583
AL,300000,69996
AL,41768,56638
AL,52050,67864
AL,58784,71445
AL,300000,65583
AL,300000,49212
AL,46769,57395
AL,45615,56947
AL,26304,43222
AL,54574,67555
AL,32407,34855
AL,49459,56385
AL,39956,53998
AL,30660,47717
AL,47284,58684
AL,25206,30765
AL,21911,30564
AL,27877,36333
AL,15743,27581
AL,41259,55336
AL,46871,54371
AL,48881,49509
AL,41809,46650
AL,30601,40352
AL,13029,33803
AL,27332,35282
AL,64034,72487
AL,0,0
AL,300000,45966
AL,30130,38000
AL,27057,44019
AL,43170,57239
AL,300000,51542
AL,37212,54388
AL,35327,47550
AL,33316,40648
AL,46110,67265
AL,40705,55952
AL,36477,40451
AL,45281,64173
AL,38228,50714
AL,23781,40592
AL,35064,44628
AL,25199,31459
AL,34974,51782
AL,30746,46792
AL,84211,88951
AL,49254,61449
AL,42586,51659
AL,300000,46357
AL,65185,72532
AL,38525,51460
AL,38139,44527
AL,28982,31633
AL,23325,33042
AL,300000,53559
AL,41801,58835
AL,56246,61868
AL,31463,46327
AL,43585,60141
AL,28886,40683
AL,65528,61900
AL,39630,53673
AL,300000,63213
AL,28850,37893
AL,32959,44858
AL,28444,43726
AL,59974,68310
AL,16878,34206
AL,49674,65625
AL,31497,31645
AL,61815,58239
AL,33772,42703
AL,45588,65458
AL,15982,23614
AL,20489,30567
AL,19843,26582
AL,37458,47226
AL,40569,41338
AL,26135,42170
AL,54135,50821
AL,40662,46422
AL,300000,57662
AL,50235,55257
AL,50579,51818
AL,49903,81059
AL,48383,57221
AL,40855,42831
AL,57710,63662
AL,23243,31072
AL,47797,51077
AL,23911,36536
AL,49884,65909
AL,19505,32898
AL,34726,42144
AL,22709,31929
AL,39380,50735
AL,300000,55639
AL,46048,59416
AL,22809,24359
AL,28972,40956
AL,38743,52592
AL,32380,54116
AL,48388,78787
AL,300000,37300
AL,27315,37651
AL,20881,26922
AL,42052,53395
AL,16667,24591
AL,28110,43686
AL,41328,47014
AL,53258,69416
AL,53463,62728
AL,45033,58553
AL,45442,57312
AL,53439,66532
AL,24260,34057
AL,37902,49175
AL,42227,54235
AL,45128,77322
AL,21391,31235
AL,42093,50287
AL,32599,42148
AL,42647,51326
AL,30827,40859
AL,28550,38145
AL,28006,30222
AL,16684,18832
AL,29052,29489
AL,23435,29126
AL,37499,43931
AL,12611,25675
AL,26300,30849
AL,43322,68538
AL,25083,36740
AL,21929,33091
AL,30412,34319
AL,14309,30472
AL,15614,21753
AL,34771,51831
AL,23929,28327
AL,19517,28613
AL,37262,46565
AL,26633,28720
AL,46009,45016
AL,25986,37361
AL,37992,52337
AL,46585,47506
AL,18646,21283
AL,27182,29768
AL,44265,53701
AL,123075,142440
AL,300000,155368
AL,104533,128504
AL,17037,18813
AL,300000,66500
AL,63764,70449
AL,31818,45113
AL,70762,80117
AL,66689,68096
AL,70230,80998
AL,65918,74951
AL,42982,51319
AL,42204,46171
AL,40369,50662
AL,47866,54763
AL,73076,90511
AL,47460,53383
AL,50225,54558
AL,24797,40281
AL,85431,95153
AL,39607,79077
AL,53548,65070
AL,57091,81011
AL,21950,31871
AL,300000,60913
AL,35063,52520
AL,300000,77131
AL,88210,90324
AL,41056,54523
AL,300000,46829
AL,300000,128915
AL,103436,115904
AL,14259,48082
AL,11362,19898
AL,25315,28404
AL,40925,45871
AL,57489,66925
AL,53758,58520
AL,49876,65375
AL,22032,34479
AL,62159,85950
AL,39930,53050
AL,30636,49453
AL,35481,50558
AL,34122,49474
AL,71002,82357
AL,23556,34498
AL,300000,44489
AL,300000,71907
AL,300000,60292
AL,28402,40819
AL,51524,56743
AL,29698,42186
AL,78280,84102
AL,47441,52624
AL,30742,43849
AL,60539,80593
AL,85287,101327
AL,52781,63560
AL,36023,50328
AL,35431,43995
AL,43691,53767
AL,33659,47407
AL,30776,38058
AL,42104,57474
AL,30532,53441
AL,42703,49178
AL,88860,93252
AL,20863,23273
AL,22507,37494
AL,300000,77007
AL,75064,79876
AL,39117,48781
AL,75474,83331
AL,63617,64802
AL,48140,56419
AL,64911,75746
AL,69225,80729
AL,44095,58474
AL,300000,134609
AL,56372,79792
AL,49914,65716
AL,20988,32346
AL,30452,36970
AL,30152,48416
AL,35339,47449
AL,32935,50049
AL,15096,31017
AL,38909,55987
AL,51925,62677
AL,300000,58478
AL,36870,55796
AL,300000,61634
AL,20717,32765
AL,20746,30928
AL,60413,77080
AL,16804,23700
AL,34201,40489
AL,32056,46053
AL,34077,36931
AL,30813,38383
AL,29059,50132
AL,68650,70996
AL,300000,42432
AL,54763,57689
AL,25216,40518
AL,14533,35468
AL,43324,49698
AL,300000,108483
AL,42972,58556
AL,66868,86000
AL,56165,64660
AL,20077,23955
AL,16243,24218
AL,300000,43803
AL,41530,48595
AL,48215,58182
AL,55836,75861
AL,55680,66912
AL,92467,98744
AL,25328,35313
AL,39571,51099
AL,46383,48721
AL,49255,63538
AL,21104,33457
AL,0,0
AL,48748,65025
AL,22348,33553
AL,27130,41374
AL,33114,32307
AL,51602,52473
AL,11494,14023
AL,39275,51585
AL,300000,47899
AL,31912,43562
AL,29294,33530
AL,22640,24669
AL,96944,102838
AL,31702,48406
AL,36873,45068
AL,54777,49593
AL,300000,69004
AL,28065,38679
AL,125792,135664
AL,300000,96002
AL,99257,99568
AL,300000,87238
AL,73460,86272
AL,21249,48871
AL,36619,55287
AL,23740,31849
AL,49578,65126
AL,30715,44728
AL,41789,50662
AL,31079,45554
AL,57511,78301
AL,41084,45167
AL,36191,48190
AL,300000,47317
AL,29581,52298
AL,15337,26820
AL,23017,31502
AL,39745,55440
AL,30309,38677
AL,40935,44124
AL,49691,56777
AL,23200,26882
AL,34531,47470
AL,24661,30365
AL,22642,33523
AL,300000,63023
AL,54496,65548
AL,15353,24534
AL,44569,55128
AL,61358,63437
AL,52591,60199
AL,123216,133935
AL,300000,114188
AL,300000,61447
AL,38790,47515
AL,111108,124681
AL,61078,64499
AL,61618,67471
AL,20635,27306
AL,300000,81035
AL,110344,114805
AL,54838,67015
AL,23681,30720
AL,59257,74941
AL,48211,45623
AL,300000,30518
AL,13928,20842
AL,300000,56039
AL,38497,42395
AL,13490,20724
AL,31306,40286
AL,53384,57732
AL,65949,74831
AL,300000,126456
AL,75235,77645
AL,45486,51913
AL,107411,125421
AL,43725,54986
AL,51483,58765
AL,39959,48158
AL,44414,53410
AL,24484,31061
AL,25211,28049
AL,47824,68542
AL,30584,29516
AL,36678,44856
AL,54429,69796
AL,35721,48437
AL,21826,32015
AL,32579,49334
AL,46017,51500
AL,24378,35707
AL,31524,45265
AL,28999,45381
AL,18681,28710
AL,23205,31636
AL,27636,36939
AL,36936,39763
AL,20436,36736
AL,64476,82907
AL,32289,42947
AL,66976,72958
AL,53139,64478
AL,42042,52012
AL,44282,62219
AL,133231,140732
AL,27480,30586
AL,91182,96563
AL,110028,118301
AL,41379,50506
AL,28315,40060
AL,47811,59353
AL,34892,50843
AL,24321,40521
AL,61166,75875
AL,22207,30665
AL,39086,55067
AL,35092,42963
AL,17354,26622
AL,28544,36412
AL,33121,42294
AL,46471,54667
AL,25216,36376
AL,66704,79587
AL,80758,94067
AL,69213,77787
AL,109549,116068
AL,93741,97765
AL,33640,45191
AL,38275,56133
AL,29075,43988
AL,15085,22203
AL,42042,52208
AL,42454,55238
AL,36369,46324
AL,20142,28217
AL,73032,101118
AL,0,0
AL,62620,71008
AL,20116,26337
AL,44787,48430
AL,56706,75214
AL,32163,43982
AL,40580,59980
AL,19718,25820
AL,26777,44326
AL,14709,31018
AL,38772,54451
AL,19480,33100
AL,34723,46649
AL,24891,30257
AL,32820,46816
AL,14550,23165
AL,63155,74890
AL,43854,54250
AL,47202,54365
AL,23175,34635
AL,41874,47083
AL,30117,39045
AK,33347,40008
AK,300000,93374
AK,78124,94285
AK,59795,63175
AK,41718,51011
AK,44853,48313
AK,38571,57085
AK,62878,79728
AK,56650,68267
AK,300000,71796
AK,59124,76885
AK,300000,97802
AK,91135,95667
AK,33763,47031
AK,45810,62545
AK,41209,58463
AK,60544,74363
AK,44147,55482
AK,0,0
AK,24491,43471
AK,300000,101864
AK,27223,33847
AK,51784,65682
AK,300000,58004
AK,66964,79191
AK,84804,77110
AK,26943,39794
AK,300000,67102
AK,43243,55786
AK,69886,81352
AK,17126,20652
AK,45813,51237
AK,0,0
AK,64415,73951
AK,300000,242857
AK,86630,97685
AK,50708,62733
AK,82973,84692
AK,86266,95014
AK,45462,58546
AK,45144,54967
AK,40060,53751
AK,53765,64869
AK,300000,133300
AK,105321,109312
AK,40752,46024
AK,54003,62940
AK,300000,77951
AK,300000,77947
AK,31880,62693
AK,300000,128395
AK,300000,117755
AK,73337,83006
AK,84964,92042
AK,300000,97885
AK,83403,89946
AK,59794,71733
AK,300000,58345
AK,115283,115266
AK,79940,95568
AK,84689,86400
AK,65511,81726
AK,300000,92426
AK,300000,82394
AK,58231,70573
AK,138010,144635
AK,300000,94928
AK,72540,90822
AK,72645,92923
AK,45653,69802
AK,300000,61158
AK,66143,96348
AK,300000,84823
AK,82163,98668
AK,70536,72074
AK,94845,97038
AK,54682,65020
AK,78817,92293
AK,67934,81155
AK,75180,89805
AK,60259,66103
AK,42495,56071
AK,71183,82980
AK,64332,75033
AK,80106,84545
AK,40341,49429
AK,300000,159063
AK,79780,89437
AK,78817,81463
AK,78819,78371
AK,77579,93393
AK,83667,96211
AK,86030,96042
AK,42202,57070
AK,66727,77876
AK,48663,69964
AK,59519,80041
AK,41445,57814
AK,32182,50328
AK,87924,98618
AK,29945,40950
AK,97257,100792
AK,300000,99901
AK,54083,67572
AK,70749,81749
AZ,11622,58579
AZ,43020,51765
AZ,45147,56286
AZ,32050,35045
AZ,34601,41489
AZ,50113,61934
AZ,16974,27046
AZ,300000,104815
AZ,300000,112500
AZ,226983,172052
AZ,39081,41087
AZ,300000,98549
AZ,24081,39442
AZ,112343,122937
AZ,84020,94418
AZ,0,0
AZ,38040,39634
AZ,29443,34976
AZ,30296,40895
AZ,33678,38972
AZ,300000,74202
AZ,21778,25541
AZ,23431,30685
AZ,66140,49684
AZ,27728,41648
AZ,300000,53625
AZ,43324,52431
AZ,46917,55575
AZ,16730,23530
AZ,23397,25662
AZ,300000,39704
AZ,68043,77054
AZ,43469,51403
AZ,31960,38280
AZ,58812,69646
AZ,30067,45103
AZ,44609,55736
AZ,32498,48130
AZ,21095,30660
AZ,75337,72207
AZ,37010,54968
AZ,45415,56440
AZ,300000,38080
AZ,28392,56385
AZ,32358,39957
AZ,27616,36012
AZ,115886,119002
AZ,120267,130704
AZ,44904,50747
AZ,71850,76501
AZ,20190,29436
AZ,34773,40865
AZ,41559,55714
AZ,47061,60355
AZ,17769,30932
AZ,26019,40332
AZ,59716,66618
AZ,33531,46321
AZ,39574,50620
AZ,28401,42399
AZ,0,0
AZ,32166,36960
AZ,24333,29100
AZ,23085,31743
AZ,35025,41993
AZ,33686,42669
AZ,52748,65342
AZ,73008,83575
AZ,96439,111983
AZ,74637,85403
AZ,61033,71769
AZ,44224,52042
AZ,74925,81394
AZ,32855,42482
AZ,74059,85037
AZ,73148,78314
AZ,68188,69154
AZ,19089,31177
AZ,56317,61881
AZ,37626,47256
AZ,69164,88549
AZ,108682,117775
AZ,78185,103565
AZ,63984,77691
AZ,78342,102169
AZ,34199,38145
AZ,54360,61313
AZ,32748,38860
AZ,72414,80766
AZ,48531,55664
AZ,60392,70255
AZ,68778,79505
AZ,46878,54716
AZ,51629,59894
AZ,73437,84867
AZ,44963,65618
AZ,35026,42560
AZ,76057,86089
AZ,64754,75600
AZ,27053,36499
AZ,40948,55147
AZ,38166,50898
AZ,51614,64052
AZ,28252,39969
AZ,0,0
AZ,53380,61099
AZ,19821,32392
AZ,42521,46921
AZ,15983,26791
AZ,51174,47873
AZ,41484,53868
AZ,34075,44590
AZ,43357,48145
AZ,44767,54157
AZ,16703,23169
AZ,27002,32972
AZ,57086,74173
AZ,36335,49029
AZ,0,0
AZ,43561,53945
AZ,52430,63928
AZ,300000,134124
AZ,51034,59741
AZ,83296,92626
AZ,300000,142894
